TaxonId;Vetenskapligt namn;Svenskt namn;Svensk förekomst;Typ;Organismgrupp;Kategori;Rödlistekriterium;Skog (S);Jordbrukslandskap (J);Urban miljö (U);Fjäll (F);Våtmark (V);Sötvatten (L);Havsstrand (H);Marin miljö (M);Brackvatten (B)
261452;Abia nitens;;Bofast och reproducerande;Art;Steklar;Kunskapsbrist (DD);;;Viktig;;;;;;;
249011;Abia sericea;väddstekel;Bofast och reproducerande;Art;Steklar;Nära hotad (NT);B2ab(ii,iii,iv);Förekommer;Viktig;;;Förekommer;;;;
102744;Abra prismatica;långsprödmussla;Bofast och reproducerande;Art;Blötdjur;Nära hotad (NT);B1b(iii);;;;;;;;Viktig;
100149;Abraeus granulum;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;;;;;;;
100150;Abraeus parvulus;;Bofast och reproducerande;Art;Skalbaggar;Starkt hotad (EN);B2ab(iii);Viktig;Viktig;;;;;;;
2;Absconditella delutula;blek kryptolav;Bofast och reproducerande;Art;Lavar;Sårbar (VU);D1;Förekommer;Förekommer;;;;;;;
100152;Acalles camelus;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;;;;;;;
213487;Acalles misellus;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;;;;;;;;
100154;Acalles ptinoides;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);;Viktig;;;;;;;
100155;Acanthocinus griseus;mindre timmerman;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;;;;Förekommer;;;;
243657;Acanthocnema latipennis;;Bofast och reproducerande;Art;Tvåvingar;Kunskapsbrist (DD);;;;;;Förekommer;Viktig;;;
1961;Acanthophysellum lividocoeruleum;druvskinn;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);C2a(i);Viktig;Förekommer;;;;;;;
1960;Acanthophysium fennicum;grenskålskinn;Ej längre bofast, ej tillfälligt förekommande;Art;Storsvampar;Nationellt utdöd (RE);;Viktig;;;;;;;;
3;Acarospora anomala;träspricklav;Bofast och reproducerande;Art;Lavar;Starkt hotad (EN);D;;Viktig;Förekommer;;;;;;
1765;Acarospora cervina;gyttrad kalkspricklav;Bofast och reproducerande;Art;Lavar;Sårbar (VU);D1;;Viktig;;;;;;;
218621;Acartauchenius scurrilis;nacktofsspindel;Bofast och reproducerande;Art;Spindeldjur;Kunskapsbrist (DD);;;Viktig;;;;;Förekommer;;
100156;Acasis appensata;trolldruvelobmätare;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(iii);Förekommer;Viktig;;;Förekommer;;Förekommer;;
2192;Acaulon muticum;pygmémossa;Bofast och reproducerande;Art;Mossor;Nära hotad (NT);C2a(i);;Viktig;;;;;;;
100001;Accipiter gentilis;duvhök;Bofast och reproducerande;Art;Fåglar;Nära hotad (NT);A2bc;Viktig;Förekommer;Förekommer;;;;;;
5;Acer campestre;naverlönn;Bofast och reproducerande;Art;Kärlväxter;Akut hotad (CR);D;Förekommer;Viktig;;;;;;;
102924;Acerbia alpina;nordisk igelkottsspinnare;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B1ab(iii,v)+2ab(iii,v);;;;Viktig;;;;;
100157;Acetropis gimmerthalii;sydlig gräsängsskinnbagge;Bofast och reproducerande;Art;Halvvingar;Sårbar (VU);B1ab(ii,iii)+2ab(ii,iii);;Viktig;;;;;;;
250187;Achalcus bimaculatus;;Bofast och reproducerande;Art;Tvåvingar;Nära hotad (NT);B1ab(ii,iii)+2ab(ii,iii);Förekommer;;;;Viktig;;;;
234580;Achorotile longicornis;;Bofast och reproducerande;Art;Halvvingar;Kunskapsbrist (DD);;;Viktig;;;;;;;
100002;Acipenser oxyrinchus;atlantisk stör;Ej längre bofast, nu endast tillfälligt förekommande;Art;Fiskar;Nationellt utdöd (RE);;;;;;;Viktig;;Viktig;Viktig
214906;Acleris fimbriana;odonvårvecklare;Bofast och reproducerande;Art;Fjärilar;Kunskapsbrist (DD);;Förekommer;;;;Viktig;;;;
100161;Acleris permutana;nyponhöstvecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(i,ii,iii,iv);;Viktig;;;;;;;
100162;Acleris quercinana;brun ekvårvecklare;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B1ab(ii,iii,v)c(iv)+2ab(ii,iii,v)c(iv);Viktig;;;;;;;;
102360;Acleris roscidana;större aspvårvecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii);Viktig;;;;;;;;
102361;Acleris schalleriana;olvonvårvecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(ii,iii,iv);Förekommer;Viktig;;;;;;;
100163;Aclypea undata;vågbandad skinnarbagge;Ej längre bofast, ej tillfälligt förekommande;Art;Skalbaggar;Nationellt utdöd (RE);;;Viktig;Viktig;;;;;;
100164;Acmaeops marginatus;kantad kulhalsbock;Bofast och reproducerande;Art;Skalbaggar;Starkt hotad (EN);B2ab(iii);Viktig;;;;;;;;
100165;Acmaeops septentrionis;korthårig kulhalsbock;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);"A2c+3c; B2ab(iii,iv)";Viktig;;;;Förekommer;;;;
100166;Acmaeops smaragdulus;grön kulhalsbock;Ej längre bofast, ej tillfälligt förekommande;Art;Skalbaggar;Nationellt utdöd (RE);;Viktig;;;;;;;;
498;Acolium karelicum;liten sotlav;Bofast och reproducerande;Art;Lavar;Sårbar (VU);A2bc+3bc+4bc;Viktig;;;;;;;;
501;Acolium sessile;parasitsotlav;Bofast och reproducerande;Art;Lavar;Sårbar (VU);D1;;Viktig;;;;;;;
102362;Acompsia subpunctella;strandveronikemal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(iii);;Förekommer;;;;;Viktig;;
6;Aconitum napellus;äkta stormhatt;Bofast och reproducerande;Art;Kärlväxter;Akut hotad (CR);D;Förekommer;Viktig;;;;;;;
100892;Acontia trabealis;åkervindefly;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);"B2ab(iii); C2b";;Viktig;Förekommer;;;;Förekommer;;
102363;Acosmetia caliginosa;töckenfly;Ej längre bofast, nu endast tillfälligt förekommande;Art;Fjärilar;Nationellt utdöd (RE);;;Viktig;;;;;;;
101166;Acossus terebra;mindre träfjäril;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);D1;Viktig;Förekommer;;;Förekommer;;;;
100180;Acritus minutus;;Ej längre bofast, nu endast tillfälligt förekommande;Art;Skalbaggar;Nationellt utdöd (RE);;Viktig;;;;;;;;
100167;Acrobasis sodalella;grått ekbladsmott;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ac(iv);Viktig;Förekommer;;;;;;;
102364;Acrobasis tumidana;bergeksbladmott;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); D2";Viktig;;;;;;;;
100003;Acrocephalus arundinaceus;trastsångare;Bofast och reproducerande;Art;Fåglar;Nära hotad (NT°);D1;;;;;Viktig;Viktig;;;
103077;Acrocephalus dumetorum;busksångare;Bofast och reproducerande;Art;Fåglar;Nära hotad (NT°);D;;Viktig;Förekommer;;Viktig;;;;
251461;Acrochaetium catenulatum;;Bofast och reproducerande;Art;Alger;Kunskapsbrist (DD);;;;;;;;;Viktig;
232510;Acrochaetium cytophagum;;Bofast och reproducerande;Art;Alger;Kunskapsbrist (DD);;;;;;;;;Viktig;
251460;Acrochaetium dumontiae;slemsnärjepyssling;Bofast och reproducerande;Art;Alger;Kunskapsbrist (DD);;;;;;;;;Viktig;
232515;Acrochaetium immersum;;Bofast och reproducerande;Art;Alger;Kunskapsbrist (DD);;;;;;;;;Viktig;
232526;Acrochaetium stilophorae;vårttrasselpyssling;Bofast och reproducerande;Art;Alger;Kunskapsbrist (DD);;;;;;;;;Viktig;
217697;Acrocnida brachiata;strävbukig trådormstjärna;Bofast och reproducerande;Art;Tagghudingar;Kunskapsbrist (DD);;;;;;;;;Viktig;
214214;Acrolepiopsis betulella;ramslöksmal;Bofast och reproducerande;Art;Fjärilar;Kunskapsbrist (DD);;Förekommer;Viktig;;;;;;;
104371;Acrolocha minuta;;Bofast och reproducerande;Art;Skalbaggar;Kunskapsbrist (DD);;;Viktig;Viktig;;;;;;
100173;Acronicta tridens;treuddsaftonfly;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(iii,v)c(ii,iii,iv);Förekommer;Förekommer;;;Viktig;;;;
102089;Acrosathe baltica;baltisk sandstilettfluga;Bofast och reproducerande;Art;Tvåvingar;Starkt hotad (EN);B1ab(ii,iii)c(iv)+2ab(ii,iii)c(iv);;;;;;;Viktig;;
232648;Acrothrix gracilis;långgrening;Bofast och reproducerande;Art;Alger;Kunskapsbrist (DD);;;;;;;;;Viktig;
8;Actaea erythrocarpa;röd trolldruva;Bofast och reproducerande;Art;Kärlväxter;Nära hotad (NT);B2ab(ii,iii,iv,v);Viktig;;;;;;;;
102150;Actidium coarctatum;;Ej längre bofast, ej tillfälligt förekommande;Art;Skalbaggar;Nationellt utdöd (RE);;;;;;;;Viktig;;
102151;Actinopteryx fucicola;;Ej längre bofast, ej tillfälligt förekommande;Art;Skalbaggar;Nationellt utdöd (RE);;;;;;;;Viktig;;
217861;Actinostola callosa;;Bofast och reproducerande;Art;Koralldjur;Sårbar (VU);D2;;;;;;;;Viktig;
100176;Acylophorus glaberrimus;;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B1ab(iii,iv);;;Förekommer;;Viktig;;;;
100177;Adelphocoris ticinensis;fackelblomskinnbagge;Bofast och reproducerande;Art;Halvvingar;Starkt hotad (EN);B2ac(iv);;Förekommer;;;Viktig;;Förekommer;;
102152;Aderus populneus;aspögonbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;Förekommer;;;;;;
102794;Admete viridula;;Bofast och reproducerande;Art;Blötdjur;Starkt hotad (EN);B1ab(iii)+2ab(iii);;;;;;;;Viktig;
9;Adonis vernalis;våradonis;Bofast och reproducerande;Art;Kärlväxter;Nära hotad (NT);B2a;;Viktig;;;;;;;
222776;Adoxa moschatellina;desmeknopp;Bofast och reproducerande;Art;Kärlväxter;Nära hotad (NT);A2ac+3c+4ac;Viktig;Förekommer;;;;;;;
102366;Adscita statices;ängsmetallvinge;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);A2b;;Viktig;Förekommer;;Förekommer;;;;
100179;Aeletes atomarius;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;;;;;;;;
100181;Aelia rostrata;större spetsnäsa;Möjligen nationellt utdöd;Art;Halvvingar;Akut hotad (CR);B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v);;Viktig;;;;;;;
100184;Aesalus scarabaeoides;brunoxe;Bofast och reproducerande;Art;Skalbaggar;Starkt hotad (EN);B2ab(iii);Viktig;Förekommer;Förekommer;;;;;;
100185;Aethes beatricella;odörtsblomvecklare;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ac(iv);;Förekommer;Viktig;;;;Förekommer;;
214849;Aethes dilucidana;strandkvanneblomvecklare;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B1ab(iii)+2ab(iii);;;;;;;Viktig;;
102367;Aethes fennicana;strätteblomvecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2a;;;;;;;Viktig;;
102368;Aethes tesserana;rutig korgblomvecklare;Bofast och reproducerande;Art;Fjärilar;Akut hotad (CR);B2ab(iii,v);;Viktig;Viktig;;;;;;
100187;Agabus clypealis;;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B1ab(iii)+2ab(iii);;;;;Viktig;Viktig;;;
206299;Agapetus fuscipes;;Bofast och reproducerande;Art;Sländor;Sårbar (VU);B2ab(iii);Förekommer;;;;Förekommer;Viktig;;;
100191;Agaricochara latissima;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii,iv);Viktig;Förekommer;;;;;;;
2919;Agaricus cupreobrunneus;kopparchampinjon;Bofast och reproducerande;Art;Storsvampar;Kunskapsbrist (DD);;;Viktig;;;;;;;
239075;Agaricus devoniensis;dynchampinjon;Bofast och reproducerande;Art;Storsvampar;Kunskapsbrist (DD);;;Förekommer;;;;;Viktig;;
2927;Agaricus lanipes;ullfotschampinjon;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);B2b(iii);Viktig;Förekommer;;;;;;;
2942;Agaricus litoralis;spetsfotad champinjon;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;;Viktig;;;;;;;
239064;Agaricus moelleri;pärlchampinjon;Bofast och reproducerande;Art;Storsvampar;Kunskapsbrist (DD);;Viktig;Förekommer;Förekommer;;;;;;
2932;Agaricus phaeolepidotus;brunfjällig karbolchampinjon;Bofast och reproducerande;Art;Storsvampar;Kunskapsbrist (DD);;Förekommer;Förekommer;Förekommer;;;;;;
100193;Agathidium discoideum;suturfläckad mycelbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii,iv);Viktig;;;;;;;;
100194;Agathidium haemorrhoum;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2b(iii);Förekommer;Viktig;Förekommer;;;;;;
100195;Agathidium nigrinum;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii,iv);Viktig;Viktig;;;Förekommer;;;;
100196;Agathidium pallidum;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii,iv);Viktig;;;;;;;;
100198;Agathidium plagiatum;;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B2ab(iii);Viktig;;;;;;;;
100199;Agathidium pulchellum;brokig aspmycelbagge;Bofast och reproducerande;Art;Skalbaggar;Starkt hotad (EN);B2ab(iii,iv);Viktig;;;;;;;;
240274;Agathomyia zetterstedti;;Bofast och reproducerande;Art;Tvåvingar;Nära hotad (NT);B2ab(i,iv);Viktig;;;;Förekommer;;;;
100200;Agenioideus ciliatus;rödpannad vägstekel;Bofast och reproducerande;Art;Steklar;Starkt hotad (EN);B1ab(ii,iii)c(iv)+2ab(ii,iii)c(iv);;Viktig;Förekommer;;;;Förekommer;;
100201;Agenioideus sericeus;murvägstekel;Bofast och reproducerande;Art;Steklar;Starkt hotad (EN);B2ab(iii,iv)c(iv);;Viktig;Viktig;;;;Förekommer;;
100837;Aglaoapis tridentata;kilbi;Bofast och reproducerande;Art;Steklar;Sårbar (VU);B2ab(i,ii,iii,iv,v);;Viktig;Viktig;;;;;;
100202;Aglenus brunneus;;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B2ab(iii);;Viktig;Förekommer;;;;;;
102370;Agnathosia sandoeensis;tallsvampmal;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B1ac(iv)+2ac(iv);Viktig;;;;;;;;
102486;Agnoea subochreella;bokskogstubmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);"B1a+2a; D2";Viktig;;;;;;;;
1766;Agonimia allobata;slät fjällav;Bofast och reproducerande;Art;Lavar;Nära hotad (NT);A2bc+3bc+4bc;Viktig;Förekommer;;;Viktig;;;;
214254;Agonopterix alstromeriana;odörtsplattmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii);;Förekommer;Viktig;;;;Förekommer;;
100203;Agonopterix astrantiae;sårläkeplattmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(i,ii,iii,iv,v);Viktig;;;;;;;;
102371;Agonopterix atomella;ginstplattmal;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v);;Viktig;Viktig;;;;;;
100204;Agonopterix bipunctosa;ängsskäreplattmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(i,ii,iii,iv,v);;Viktig;Förekommer;;Förekommer;;;;
214260;Agonopterix broennoeensis;fjällskäreplattmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(iii);Förekommer;Viktig;;Viktig;;;;;
214277;Agonopterix capreolella;mindre bockrotsplattmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii);;Viktig;;;;;;;
100205;Agonopterix curvipunctosa;strandkvanneplattmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);"B1ab(iii)+2ab(iii); D2";;;;;;;Viktig;;
100206;Agonopterix laterella;blåklintsplattmal;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B2ab(iii);;Viktig;;;;;;;
100207;Agonopterix pallorella;rödklintsplattmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(i,ii,iii,iv)c(iv);;Viktig;Förekommer;;;;;;
100208;Agonopterix parilella;backsiljeplattmal;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B1ab(iii,iv)+2ab(iii,iv);;Viktig;Förekommer;;;;;;
102372;Agonopterix quadripunctata;fyrpunktsplattmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii);;Viktig;Förekommer;;;;;;
102373;Agonopterix scopariella;harrisbladsplattmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B1ac(iv)+2ac(iv);;Förekommer;Viktig;;;;;;
214273;Agonopterix yeatiana;vattenmärkeplattmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii);;;;;Viktig;;;;
100218;Agrilus convexicollis;askpraktbagge;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B2ab(iii);Viktig;Förekommer;;;;;;;
100216;Agrilus cuprescens;rospraktbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Förekommer;Förekommer;Förekommer;;;;;;
100219;Agrilus guerini;silverfläckig smalpraktbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B1ab(iii)+2ab(iii);Viktig;Förekommer;;;Förekommer;;;;
102159;Agrilus laticornis;bredhornad smalpraktbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2b(iii);Viktig;Förekommer;;;;;;;
100220;Agrilus mendax;rönnpraktbagge;Bofast och reproducerande;Art;Skalbaggar;Starkt hotad (EN);B2ab(iii);Viktig;Förekommer;;;;;;;
100221;Agrilus olivicolor;olivgrön smalpraktbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;Viktig;;;;;;;
100222;Agrilus subauratus;tvåfärgad smalpraktbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;;;Förekommer;;;;
215411;Agriphila deliella;svartstrimmigt gräsmott;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(ii,iii,iv);;Viktig;Viktig;;;;;;
100225;Agriphila poliella;smalvingegräsmott;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU°);B2ab(ii,iii,iv);;Viktig;Förekommer;;;;;;
216047;Agrochola lychnidis;streckbackfly;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii,v);Förekommer;Viktig;Viktig;;;;Viktig;;
1957;Agrocybe firma;vedåkerskivling;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);D1;Viktig;;;;;;;;
100226;Agroeca dentigera;kärrmånspindel;Bofast och reproducerande;Art;Spindeldjur;Starkt hotad (EN);B1ab(iii)+2ab(iii);;;;;Viktig;;Förekommer;;
14;Agrostemma githago;klätt;Bofast och reproducerande;Art;Kärlväxter;Akut hotad (CR);A2ac;;Viktig;;;;;;;
100228;Agrypnia sahlbergi;;Bofast och reproducerande;Art;Sländor;Kunskapsbrist (DD);;Förekommer;;;;Förekommer;Viktig;;;
100229;Agyrtes bicolor;;Bofast och reproducerande;Art;Skalbaggar;Kunskapsbrist (DD);;Viktig;Förekommer;;;;;;;
16;Aira caryophyllea;vittåtel;Bofast och reproducerande;Art;Kärlväxter;Sårbar (VU);B2ab(iii,iv)c(iv);;Viktig;Förekommer;;;;;;
17;Ajuga genevensis;kritsuga;Bofast och reproducerande;Art;Kärlväxter;Akut hotad (CR);B1ab(iii,iv,v)+2ab(iii,iv,v);;Förekommer;Viktig;;;;;;
102979;Alauda arvensis;sånglärka;Bofast och reproducerande;Art;Fåglar;Nära hotad (NT);A2bc;;Viktig;;;;;;;
232138;Albatrellus citrinus;gul lammticka;Bofast och reproducerande;Art;Storsvampar;Sårbar (VU);A2c+3c+4c;Viktig;;;;;;;;
19;Albatrellus cristatus;grönticka;Bofast och reproducerande;Art;Storsvampar;Starkt hotad (EN);D;Viktig;;;;;;;;
1958;Albatrellus subrubescens;lammticka;Bofast och reproducerande;Art;Storsvampar;Sårbar (VU);"A2c+3c+4c; C1+2a(i)";Viktig;;;;;;;;
100004;Alcedo atthis;kungsfiskare;Bofast och reproducerande;Art;Fåglar;Sårbar (VU);D1;;;;;Viktig;Viktig;;;
1848;Alchemilla borealis;norddaggkåpa;Bofast och reproducerande;Småarter;Kärlväxter;Nära hotad (NT);B2a;Viktig;;;Förekommer;;;;;
20;Alchemilla heptagona;sjuhörnig daggkåpa;Bofast och reproducerande;Småarter;Kärlväxter;Nära hotad (NT);B2a;;Viktig;;;;;;;
22;Alchemilla oxyodonta;skarptandad daggkåpa;Bofast och reproducerande;Småarter;Kärlväxter;Starkt hotad (EN);"B2ab(ii,iii,iv,v); C2a(i)";;Viktig;;;;;;;
222954;Alchemilla plicata;trubbdaggkåpa;Bofast och reproducerande;Småarter;Kärlväxter;Nära hotad (NT);A2ac+3c+4ac;;Viktig;;;;;;;
21;Alchemilla samuelssonii;stubbdaggkåpa;Bofast och reproducerande;Småarter;Kärlväxter;Starkt hotad (EN);B2ab(i,ii,iii,iv,v);;Viktig;;;;;;;
1849;Alchemilla taernaënsis;tärnadaggkåpa;Bofast och reproducerande;Småarter;Kärlväxter;Nära hotad (NT);"B1a+2a; D1";Förekommer;Viktig;Förekommer;;;;;;
24;Alchemilla xanthochlora;kustdaggkåpa;Bofast och reproducerande;Småarter;Kärlväxter;Nära hotad (NT);"B2a; D1";;Viktig;;;Förekommer;;;;
100230;Alcis jubata;skägglavmätare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);"A2b; B2ab(i,ii,iii,iv,v)";Viktig;;;;;;;;
6425;Alectoria sarmentosa;garnlav;Bofast och reproducerande;Art;Lavar;Nära hotad (NT);A2bc+3c+4c;Viktig;Förekommer;;;;;;;
104623;Aleochara binotata;;Bofast och reproducerande;Art;Skalbaggar;Kunskapsbrist (DD);;;Viktig;;;;;Förekommer;;
100232;Aleochara lygaea;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;;;;;;;
100233;Aleochara spissicornis;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);;Viktig;;;;;Förekommer;;
26;Aleurocystidiellum disciforme (DC.:Fr.) Tellería;ekskinn;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);C1;Viktig;;;;;;;;
100234;Alevonota gracilenta;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2b(iii);;Viktig;Viktig;;Förekommer;;Viktig;;
100452;Alinda biplicata;tvåtandad spolsnäcka;Bofast och reproducerande;Art;Blötdjur;Nära hotad (NT);B2a;Viktig;;Förekommer;;;;;;
28;Alisma gramineum;grässvalting;Ej längre bofast, ej tillfälligt förekommande;Art;Kärlväxter;Nationellt utdöd (RE);;;;;;;Viktig;;;
30;Alisma wahlenbergii;småsvalting;Bofast och reproducerande;Art;Kärlväxter;Sårbar (VU);B2ab(ii,iii,iv,v);;;;;;Viktig;;;Förekommer
100236;Allecula morio;gulbent kamklobagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;Förekommer;;;;;;
100237;Allecula rhenana;mörkbent kamklobagge;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B2ab(i,iii);Viktig;Förekommer;;;;;;;
31;Allium carinatum;rosenlök;Bofast och reproducerande;Art;Kärlväxter;Nära hotad (NT);B2a;;Viktig;;;;;Förekommer;;
32;Allium lineare;klipplök;Bofast och reproducerande;Art;Kärlväxter;Akut hotad (CR);B1ab(iii,iv,v);;Viktig;;;;;;;
1850;Allium lusitanicum;kantlök;Bofast och reproducerande;Art;Kärlväxter;Starkt hotad (EN);B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v);Viktig;Förekommer;;;;;;;
3277;Alloclavaria purpurea;luddfingersvamp;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;Viktig;;;;;;;;
102375;Alloclemensia mesospilella;vinbärsbladskärare;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);"B2ab(iii); D2";Förekommer;Förekommer;Viktig;;;;;;
100239;Allopauropus danicus;långborstfåfoting;Bofast och reproducerande;Art;Mångfotingar;Kunskapsbrist (DD);;Viktig;;;;;;;;
234868;Allygus maculatus;;Bofast och reproducerande;Art;Halvvingar;Kunskapsbrist (DD);;Viktig;Viktig;;;;;;;
33;Aloina aloides;smal toffelmossa;Bofast och reproducerande;Art;Mossor;Starkt hotad (EN);D;;Viktig;;;;;;;
34;Aloina ambigua;sydlig toffelmossa;Möjligen nationellt utdöd;Art;Mossor;Starkt hotad (EN);D;;Viktig;Förekommer;;;;;;
100244;Alopecosa cursor;klittvargspindel;Bofast och reproducerande;Art;Spindeldjur;Akut hotad (CR);B1ab(iii,v)+2ab(iii,v);Förekommer;Viktig;;;;;Förekommer;;
100245;Alopecosa schmidti;stäppvargspindel;Ej längre bofast, ej tillfälligt förekommande;Art;Spindeldjur;Nationellt utdöd (RE);;;Viktig;;;;;Viktig;;
1851;Alopecurus pratensis subsp. alpestris;fjällkavle;Bofast och reproducerande;Underart;Kärlväxter;Nära hotad (NT);B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v);;Viktig;;Förekommer;Förekommer;;;;
36;Alpova diplophloeus;gelétryffel;Bofast och reproducerande;Art;Storsvampar;Sårbar (VU);B2ab(iii);Viktig;;;;;;;;
102376;Alucita grammodactyla;fältväddsfjädermott;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2b(iii)c(iv);;Viktig;Förekommer;;;;;;
102771;Alvania cimicoides;;Bofast och reproducerande;Art;Blötdjur;Kunskapsbrist (DD);;;;;;;;;Viktig;
102772;Alvania jeffreysi;;Bofast och reproducerande;Art;Blötdjur;Kunskapsbrist (DD);;;;;;;;;Viktig;
102773;Alvania subsoluta;;Bofast och reproducerande;Art;Blötdjur;Kunskapsbrist (DD);;;;;;;;;Viktig;
1852;Alyssum alyssoides;grådådra;Bofast och reproducerande;Art;Kärlväxter;Sårbar (VU);B2ab(ii,iii,iv,v);;Viktig;Viktig;;;;;;
1820;Alyxoria culmigena;växtklotterlav;Bofast och reproducerande;Art;Lavar;Starkt hotad (EN);A3bc;Viktig;Viktig;;;;;;;
1116;Alyxoria ochrocheila;orangepudrad klotterlav;Bofast och reproducerande;Art;Lavar;Nära hotad (NT);A2bc+3bc+4bc;Viktig;Viktig;;;;;;;
227537;Amaeana trilobata;;Bofast och reproducerande;Art;Ringmaskar och planarier;Kunskapsbrist (DD);;;;;;;;;Viktig;
227449;Amage auricula;;Bofast och reproducerande;Art;Ringmaskar och planarier;Kunskapsbrist (DD);;;;;;;;;Viktig;
