TaxonId;Vetenskapligt namn;Svenskt namn;Svensk förekomst;Typ;Organismgrupp;Kategori;Rödlistekriterium;Skog (S);Jordbrukslandskap (J);Urban miljö (U);Fjäll (F);Våtmark (V);Sötvatten (L);Havsstrand (H);Marin miljö (M);Brackvatten (B)
214321;Elachista abiskoella;abiskogräsmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);D2;;Förekommer;;Viktig;;;;;
102425;Elachista chrysodesmella;gulbandsgräsmal;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B1ab(ii,iii,iv,v)c(iv)+2ab(ii,iii,iv,v)c(iv);Viktig;Förekommer;;;;;;;
102385;Elachista cinereopunctella;snedpunktsgräsmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2b(iii)c(iv);Förekommer;Viktig;;;;;;;
214338;Elachista eskoi;strandgräsmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);D2;;;;;Förekommer;;Viktig;;
214314;Elachista kebneella;fjällgräsmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B1a+2a;;;;Viktig;Förekommer;;;;
214339;Elachista krogeri;älvgräsmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B1ab(iii)+2ab(iii);;Förekommer;;;Viktig;;;;
102427;Elachista obliquella;smalbandsgräsmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;;;;;;;
102429;Elachista quadripunctella;fyrpunktsgräsmal;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B2ab(i,ii,iii,iv,v);Viktig;;;;;;;;
100888;Elachista tetragonella;lundstarrsgräsmal;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B2ab(ii,iii,iv)c(iv);Viktig;Viktig;;;;;;;
102430;Elachista unifasciella;bokskogsgräsmal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B1a+2a;Viktig;;;;;;;;
214343;Elachista vonschantzi;kustgräsmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(iii)c(iv);;;;;Förekommer;;Viktig;;
249148;Elampus constrictus;;Bofast och reproducerande;Art;Steklar;Nära hotad (NT);B2ab(i,ii,iii,iv);Förekommer;Förekommer;Viktig;;;;;;
570;Elaphomyces aculeatus;taggig hjorttryffel;Bofast och reproducerande;Art;Storsvampar;Starkt hotad (EN);C2a(i);Viktig;;;;;;;;
571;Elaphomyces anthracinus;svart hjorttryffel;Bofast och reproducerande;Art;Storsvampar;Sårbar (VU);"B2ab(iii); C2a(i)";Viktig;;;;;;;;
572;Elaphomyces leveillei;torvhjorttryffel;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);C2a(i);Viktig;;;;;;;;
573;Elaphomyces maculatus;slät hjorttryffel;Bofast och reproducerande;Art;Storsvampar;Starkt hotad (EN);C2a(i);Viktig;;;;;;;;
6003353;Elaphomyces septatus;;Bofast och reproducerande;Art;Storsvampar;Starkt hotad (EN);D;Förekommer;Förekommer;;;;;;;
574;Elaphomyces striatosporus;strimsporig hjorttryffel;Bofast och reproducerande;Art;Storsvampar;Sårbar (VU);"B2ab(iii); C2a(i)";Viktig;;;;;;;;
2000;Elaphomyces virgatosporus;ungersk hjorttryffel;Bofast och reproducerande;Art;Storsvampar;Sårbar (VU);D1;Viktig;Förekommer;;;;;;;
102234;Elaphrus uliginosus;bred groplöpare;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2b(iii);;Förekommer;Förekommer;;Viktig;;Viktig;;
100890;Elater ferrugineus;mulmknäppare;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B2ab(iii);Viktig;Viktig;Förekommer;;;;;;
576;Elatine hexandra;skaftslamkrypa;Bofast och reproducerande;Art;Kärlväxter;Starkt hotad (EN);B2ab(i,ii,iii,iv,v)c(iv);;;;;Förekommer;Viktig;;;
577;Elatine orthosperma;nordslamkrypa;Bofast och reproducerande;Art;Kärlväxter;Sårbar (VU);B2ab(ii,iii,iv,v);;Förekommer;;;Viktig;Viktig;Förekommer;;Förekommer
102431;Elatobia fuliginosella;tallbarksmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(iii);Viktig;;Förekommer;;;;;;
225979;Electrogena affinis;;Bofast och reproducerande;Art;Sländor;Sårbar (VU);B2ab(iii);Förekommer;;;;Förekommer;Viktig;;;
102809;Eledone cirrhosa;virvelkrake;Bofast och reproducerande;Art;Blötdjur;Starkt hotad (EN);C2a(i);;;;;;;;Viktig;
100891;Eledonoprius armatus;taggig svartbagge;Bofast och reproducerande;Art;Skalbaggar;Akut hotad (CR);B2ab(i,iii,iv);Viktig;Förekommer;;;;;;;
1825;Elixia flexella;vedstjärna;Bofast och reproducerande;Art;Lavar;Nära hotad (NT);A2bc+3bc+4b;Viktig;;;;;;;;
105010;Elodes tricuspis;;Bofast och reproducerande;Art;Skalbaggar;Kunskapsbrist (DD);;;;;;;Viktig;;;
100081;Emberiza calandra;kornsparv;Bofast och reproducerande;Art;Fåglar;Starkt hotad (EN);D;;Viktig;;;;;;;
103055;Emberiza citrinella;gulsparv;Bofast och reproducerande;Art;Fåglar;Sårbar (VU);A2b;Viktig;Viktig;Förekommer;;;;;;
102126;Emberiza hortulana;ortolansparv;Bofast och reproducerande;Art;Fåglar;Sårbar (VU);"A2abcd+3cd+4bcd; C1";Viktig;Viktig;Förekommer;;;;;;
100050;Emberiza pusilla;dvärgsparv;Bofast och reproducerande;Art;Fåglar;Sårbar (VU);D1;Viktig;;;;Förekommer;;;;
103056;Emberiza rustica;videsparv;Bofast och reproducerande;Art;Fåglar;Sårbar (VU);A2abcd;Viktig;;;;Förekommer;;;;
103057;Emberiza schoeniclus;sävsparv;Bofast och reproducerande;Art;Fåglar;Sårbar (VU);A2b;;;;Viktig;Viktig;;;;
100893;Emus hirtus;humlekortvinge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2b(iii);;Viktig;;;;;;;
100894;Ena montana;större barksnäcka;Bofast och reproducerande;Art;Blötdjur;Nära hotad (NT);B1a+2a;Viktig;;;;;;;;
233247;Encalypta brevipes;frostklockmossa;Bofast och reproducerande;Art;Mossor;Nära hotad (NT);D1;;;;Viktig;;;;;
580;Encalypta longicolla;halsklockmossa;Bofast och reproducerande;Art;Mossor;Sårbar (VU);D1;;;;Viktig;;;;;
581;Encalypta mutica;trubbklockmossa;Bofast och reproducerande;Art;Mossor;Nära hotad (NT);"B2ab(iii,v); C2a(i)";;Viktig;Förekommer;Viktig;;;;;
582;Encalypta spathulata;hårklockmossa;Bofast och reproducerande;Art;Mossor;Starkt hotad (EN);D;;Viktig;;Förekommer;;;;;
206176;Enchelyopus cimbrius;fyrtömmad skärlånga;Bofast och reproducerande;Art;Fiskar;Nära hotad (NT);A2ab;;;;;;;;Viktig;Viktig
1799;Enchylium bachmanianum;kransgelélav;Bofast och reproducerande;Art;Lavar;Kunskapsbrist (DD);;;Viktig;Viktig;Viktig;;;;;
1800;Enchylium limosum;lergelélav;Bofast och reproducerande;Art;Lavar;Sårbar (VU);"A3bc+4bc; D1";;Viktig;Viktig;;;;;;
584;Endocarpon psorodeum;serpentinkalklav;Bofast och reproducerande;Art;Lavar;Sårbar (VU);D1;Viktig;;;;;;;;
102432;Endothenia hebesana;stormhattsrotvecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B1ab(iii)+2ab(iii);Förekommer;Förekommer;Förekommer;;;;;;
